fname,lname,gender,age,exercise,hours,grade,address
Carol,Acosta,female,16,3,13,85.0,"Paducah, KY 42001, 18 Liberty Avenue "
Georgia,Munoz,female,14,5,20,99.0,"9088 Randall Mill Ave. , Stevens Point, WI 54481"
Doris,Melendez,female,17,5,12,93.2,"7837 High Point Drive , Shelbyville, TN 37160"
Eric,Larsen,male,14,2,11,71.9,"8004 Poplar Dr. , Franklin Square, NY 11010"
Cain,Sexton,male,16,3,8,85.3,"La Vergne, TN 37086, 9302 Indian Summer Ave. "
Ivor,Arnold,male,19,4,20,100.0,"990 Brookside Street , West Warwick, RI 02893"
Devin,Jacobs,male,14,3,14,98.1,"7482 E. Mayfield Drive , Huntington, NY 11743"
Rebekah,Brock,female,16,2,5,68.9,"Delray Beach, FL 33445, 925 Fairview Lane "
Cameran,Sears,female,14,4,8,75.4,"8430 Richardson St. , Natick, MA 01760"
Norman,Cunningham,male,17,2,10,76.8,"Land O Lakes, FL 34639, 70 E. Lake Forest Dr. "
Lenore,Copeland,female,14,4,8,74.0,"7453 West King St. , Longview, TX 75604"
Keelie,Guerrero,female,15,1,12,81.0,"240 Ridge St. , Wheaton, IL 60187"
Hilel,Hamilton,male,15,2,17,95.2,"7186 E. Cobblestone Rd. , Saint Louis, MO 63109"
Dolan,Ford,male,14,3,3,64.2,"12 West Roehampton Ave. , Round Lake, IL 60073"
Rhea,Melton,female,18,5,12,95.0,"993 River St. , New Windsor, NY 12553"
Fulton,Castaneda,male,14,3,10,71.2,"72 Grove Ave. , Hartselle, AL 35640"
Kiayada,Bullock,female,18,3,11,74.9,"Lapeer, MI 48446, 974 Willow Rd. "
Aurelia,Clayton,female,14,5,3,72.1,"650 Elmwood Street , North Andover, MA 01845"
Nero,Klein,male,18,2,10,87.8,"Severn, MD 21144, 3 Old Depot Street "
Aladdin,Chambers,male,19,4,11,82.6,"7691 S. Corona Street , Antioch, TN 37013"
Beau,Goff,male,19,2,15,85.1,"Endicott, NY 13760, 7171 E. Livingston Lane "
Octavius,Walker,male,15,2,11,81.3,"83 Howard Ave. , Bettendorf, IA 52722"
Allen,Livingston,male,18,5,13,89.4,"664 Plumb Branch Lane , Annapolis, MD 21401"
Basil,Fuller,male,16,3,9,86.4,"563 Coffee Street , Riverview, FL 33569"
Reese,Kline,male,16,4,11,83.5,"91 Constitution St. , Oceanside, NY 11572"
Tate,Dunlap,male,17,2,6,67.7,"796 Sunnyslope St. , Copperas Cove, TX 76522"
Jonah,Sosa,male,14,5,12,89.9,"8789 Lawrence Dr. , Evanston, IL 60201"
Ingrid,Harvey,female,16,5,5,72.6,"Longwood, FL 32779, 180 Lancaster St. "
Tanner,Vaughn,male,17,4,11,89.1,"Oakland Gardens, NY 11364, 18 West Street "
Oleg,Mooney,male,16,3,10,71.3,"7072 NW. Columbia Street , Winter Haven, FL 33880"
Piper,Lowery,female,19,2,5,61.4,"West Deptford, NJ 08096, 210 E. Grand St. "
Genevieve,Adkins,female,15,1,8,67.3,"Winter Garden, FL 34787, 79 Shub Farm Lane "
Lilah,Roman,female,19,4,9,85.9,"New Kensington, PA 15068, 499 Tailwater Ave. "
Illiana,Thompson,female,15,3,17,86.0,"584 Bowman Drive , Clementon, NJ 08021"
Warren,Pope,male,18,4,5,76.3,"83 Tanglewood Street , Helena, MT 59601"
Regan,Foley,female,16,2,9,77.4,"7705 Cambridge Street , Coventry, RI 02816"
Justin,Morris,male,19,5,10,77.5,"718 School Ave. , Mebane, NC 27302"
Isaiah,Patrick,male,19,4,3,65.3,"Nottingham, MD 21236, 363 Church Lane "
Daryl,Benson,female,19,1,18,93.8,"Augusta, GA 30906, 392 E. Blackburn Street "
Barbara,Berger,female,16,3,12,82.7,"Irmo, SC 29063, 7296 4th Road "
Christine,Briggs,female,14,5,18,91.9,"901 Shirley Ave. , Uniondale, NY 11553"
Iola,Bowers,female,19,3,11,88.4,"Hopkins, MN 55343, 786 Valley View St. "
Lars,Oconnor,male,18,4,8,67.9,"Hanover, PA 17331, 62 Shub Farm Street "
Jaden,Maldonado,female,16,4,10,84.5,"3 Lakewood St. , Englewood, NJ 07631"
Signe,Lopez,female,18,2,13,76.7,"Media, PA 19063, 56 University St. "
Deanna,Warren,female,19,1,9,83.2,"Hackensack, NJ 07601, 8405 Depot Drive "
Quemby,Justice,female,14,2,17,100.0,"Bayonne, NJ 07002, 187 South Surrey Street "
Shafira,Guthrie,female,17,4,12,85.3,"893 Green Hill Street , Butler, PA 16001"
Ariana,Pacheco,female,17,1,5,70.9,"259 West Poplar St. , Ballston Spa, NY 12020"
Hoyt,Lyons,male,16,5,1,71.3,"472 S. Columbia St. , Dubuque, IA 52001"
Justin,Holden,male,18,3,17,83.5,"31 Ohio Lane , Glen Ellyn, IL 60137"
Phelan,Rich,male,16,1,6,74.9,"156 Manhattan Street , Sicklerville, NJ 08081"
Honorato,Villarreal,male,14,1,12,73.3,"751 Oakland Street , Johnston, RI 02919"
Hashim,Hopkins,male,18,3,10,77.9,"5 San Juan Street , Palm City, FL 34990"
Porter,Ware,male,14,1,16,90.4,"55 Circle Lane , Bolingbrook, IL 60440"
Joan,Sexton,female,18,5,18,96.6,"9651 Fairway Drive , Thornton, CO 80241"
Alexa,Gutierrez,female,17,4,6,81.2,"Ponte Vedra Beach, FL 32082, 32 S. Marconi Street "
Sean,Molina,male,17,1,8,67.7,"64 S. Talbot St. , Land O Lakes, FL 34639"
Lucius,Herrera,male,14,2,19,88.0,"7052 Myrtle Ave. , Hampton, VA 23666"
Sydnee,Campbell,female,18,2,15,99.4,"7749 53rd Rd. , Chandler, AZ 85224"
Allistair,Rosales,male,14,4,3,67.0,"851 S. Sherwood Lane , Barrington, IL 60010"
Alyssa,Craig,female,19,5,11,93.0,"Fredericksburg, VA 22405, 95 West Park Ave. "
Cody,Lara,male,18,1,6,69.0,"55 S. Wild Horse Circle , Jamestown, NY 14701"
Bernard,Mcconnell,male,14,2,10,78.3,"14 Rockcrest St. , Fremont, OH 43420"
Jonah,Mckinney,male,15,2,11,74.9,"842 East Green Lake Street , Fenton, MI 48430"
Yen,Cooke,female,14,4,11,87.9,"Maplewood, NJ 07040, 8259 Illinois Street "
Cassidy,Hughes,female,15,3,17,92.0,"Nicholasville, KY 40356, 237 Lake Street "
Gisela,Johnston,female,19,1,8,68.0,"379 Rose Drive , Lake Jackson, TX 77566"
Yetta,Howell,female,17,3,13,89.2,"Fort Lauderdale, FL 33308, 769 Primrose St. "
Gabriel,Morton,male,16,2,15,91.3,"323 Arcadia Drive , Vineland, NJ 08360"
Sage,Cleveland,female,19,2,20,100.0,"522 Woodside Street , Torrington, CT 06790"
Shannon,Key,female,15,1,11,83.7,"468 North San Carlos Rd. , Hallandale, FL 33009"
Sigourney,Mitchell,female,14,2,12,82.5,"Hackettstown, NJ 07840, 8870 West Heather Lane "
Adrienne,Klein,female,18,3,12,77.3,"Helena, MT 59601, 709 Constitution Avenue "
Chaney,Hoffman,male,14,3,13,93.6,"423 Cambridge Circle , Chardon, OH 44024"
Fritz,Park,male,14,2,18,93.2,"686 Elizabeth Ave. , Brunswick, GA 31525"
Clinton,Donaldson,male,16,5,10,88.4,"18 North Rock Maple Drive , Oviedo, FL 32765"
Lara,Haley,female,17,5,12,95.6,"81 Catherine Lane , Amarillo, TX 79106"
Sophia,Gordon,female,19,4,17,100.0,"54 Saxton Lane , Bowie, MD 20715"
Kaye,Howard,female,19,5,13,94.9,"9951 Lincoln St. , Toms River, NJ 08753"
Quinlan,Rollins,male,15,5,8,73.3,"8821 Young Ave. , Jupiter, FL 33458"
Xanthus,Barlow,male,19,5,16,95.5,"681 Shipley Drive , Thornton, CO 80241"
Hamilton,Terrell,male,15,5,16,96.6,"9620 Brewery Ave. , Saint Albans, NY 11412"
Zeus,Ratliff,male,14,2,16,88.8,"477 Bellevue St. , The Villages, FL 32162"
Valentine,Osborne,male,19,5,12,92.2,"Alliance, OH 44601, 7369 Border St. "
Zahir,Watkins,male,14,2,14,92.0,"Detroit, MI 48205, 7059 Hill Field Drive "
Debra,Wilkerson,female,16,4,5,66.3,"Clayton, NC 27520, 49 Tanglewood Lane "
Clio,Wilson,female,14,1,5,65.3,"South Portland, ME 04106, 7717 North Rockwell Road "
Cathleen,Hayden,female,18,4,3,73.4,"Bardstown, KY 40004, 8532 Young Street "
Yolanda,Vaughan,female,14,2,15,94.0,"9449 High Ridge Drive , Media, PA 19063"
Guinevere,Romero,female,18,5,14,84.2,"Fair Lawn, NJ 07410, 8428 Middle River Dr. "
Keelie,Rice,female,19,4,9,88.4,"Grand Haven, MI 49417, 384 Canal Dr. "
Bethany,Sullivan,female,15,3,9,73.1,"52 Magnolia Ave. , Johnson City, TN 37601"
Salvador,Gray,male,14,1,13,84.2,"278 Manchester Avenue , Winchester, VA 22601"
Violet,Jennings,female,14,1,5,62.6,"Dalton, GA 30721, 9130 Greenrose Court "
Lewis,Jones,male,15,5,11,92.6,"471 W. Lawrence Drive , Newtown, PA 18940"
Lunea,Mcfadden,female,17,1,17,91.6,"Dyersburg, TN 38024, 756 East Bohemia Ave. "
Shaeleigh,Clayton,female,19,2,12,92.4,"Virginia Beach, VA 23451, 507 Campfire Ave. "
Nathan,Payne,male,15,1,8,79.1,"26 Pheasant Street , Sicklerville, NJ 08081"
Stella,Smith,female,14,1,6,76.2,"408 Park St. , Lindenhurst, NY 11757"
Kelly,Shannon,male,18,5,14,90.9,"96 Oxford St. , Chicago Heights, IL 60411"
Yael,Mcdowell,female,18,3,16,85.2,"Austin, MN 55912, 22 State Ave. "
Zena,Schultz,female,19,3,12,80.1,"695 Logan Ave. , Natchez, MS 39120"
Chaney,Harrington,male,19,4,11,89.3,"660 Wood Road , Danvers, MA 01923"
Conan,Wall,male,19,3,6,66.8,"6 Adams Street , Huntington Station, NY 11746"
Jamalia,Bowman,female,16,1,13,77.8,"Elk Grove Village, IL 60007, 580 Pin Oak Rd. "
Shana,Castro,female,14,1,14,95.0,"48 Market Dr. , Hampton, VA 23666"
Merrill,Duran,male,17,2,10,76.3,"Spring Hill, FL 34608, 799 Fairview Street "
Gregory,Lawrence,male,19,3,14,86.8,"328 Magnolia Drive , Augusta, GA 30906"
Rebecca,Bird,female,19,2,7,82.5,"Green Bay, WI 54302, 9990 Mammoth Ave. "
Sheila,Koch,female,15,5,13,97.1,"Lake Charles, LA 70605, 9164 Elmwood St. "
Dane,Flynn,male,18,5,12,87.4,"884 Pine Street , Hartford, CT 06106"
Connor,Salas,male,19,5,17,90.7,"78 East Albany St. , Middletown, CT 06457"
Baxter,Hardy,male,14,5,9,75.1,"57 East Queen Rd. , Passaic, NJ 07055"
Jorden,Sharp,female,17,4,12,90.2,"702 1st Street , Arlington Heights, IL 60004"
Hu,Weber,male,17,3,9,84.2,"9707 Courtland Lane , Danvers, MA 01923"
Maite,Walters,female,16,3,10,74.0,"78 Richardson Drive , Wantagh, NY 11793"
Alfreda,Mays,female,15,4,7,71.6,"Drexel Hill, PA 19026, 53 Nut Swamp Ave. "
Dexter,Wells,male,16,3,5,68.9,"8830 Blue Spring St. , Bolingbrook, IL 60440"
Sawyer,Hart,male,19,4,8,69.4,"8713 W. Swanson Court , Oklahoma City, OK 73112"
Maggie,Rich,female,19,2,11,77.3,"8429 North Pacific Rd. , Baltimore, MD 21206"
Hashim,Callahan,male,16,1,11,71.8,"434 Honey Creek Dr. , Wasilla, AK 99654"
Darius,Gilbert,male,19,3,9,86.3,"8454 Mill Street , Rolla, MO 65401"
Rosalyn,Le,female,18,1,14,88.3,"8201 Greenview Street , Sykesville, MD 21784"
Jordan,Holt,male,18,3,4,72.1,"2 Essex St. , Fayetteville, NC 28303"
Chase,Flynn,male,19,3,7,81.1,"307 Sherwood Ave. , Iowa City, IA 52240"
Jane,Welch,female,15,3,16,93.7,"7055 East Grant St. , Nashua, NH 03060"
Grant,Strickland,male,19,1,6,79.0,"8268 Depot Ave. , Jacksonville Beach, FL 32250"
Darius,Miranda,male,19,1,16,93.3,"455 Columbia St. , Davenport, IA 52804"
Arthur,Pacheco,male,15,3,14,96.9,"82 South Galvin Circle , Baldwin, NY 11510"
Hedda,Ramos,female,16,5,5,82.3,"Goldsboro, NC 27530, 46 SW. Smoky Hollow Street "
Farrah,Palmer,female,15,5,11,91.3,"2 George Ave. , New Brunswick, NJ 08901"
Bree,Weaver,female,16,4,12,83.3,"North Ridgeville, OH 44039, 9825 Oak Valley St. "
Elton,Preston,male,17,4,20,97.8,"Hanover, PA 17331, 1 Bradford Ave. "
Ciaran,Johns,male,16,4,15,100.0,"991 Broad Ave. , Bethlehem, PA 18015"
Miranda,Le,female,19,3,10,80.6,"605 Olive Street , East Hartford, CT 06118"
Geraldine,Farrell,female,16,3,10,84.9,"7867 Sierra Road , Shakopee, MN 55379"
Callie,Hoffman,female,15,3,9,71.9,"50 Mayfair Drive , Gloucester, MA 01930"
Jelani,Kaufman,male,14,3,14,94.1,"Millington, TN 38053, 551 Rockaway Lane "
Solomon,Rosales,male,19,3,17,91.1,"7749 SE. Deerfield Drive , Tucker, GA 30084"
Callie,Washington,female,17,2,7,77.0,"509 Glenridge Dr. , Warren, MI 48089"
Carson,Meadows,male,17,5,8,75.4,"98 Peninsula Avenue , Lombard, IL 60148"
Joseph,Mclean,male,16,1,14,81.8,"31 Heritage Ave. , West Deptford, NJ 08096"
Britanni,Tucker,female,19,1,13,89.7,"55 South Glen Creek Lane , Sandusky, OH 44870"
Raja,Stuart,male,14,1,13,82.5,"Iowa City, IA 52240, 36 Wilson Rd. "
Quail,Bonner,female,18,5,6,68.0,"9 Windsor Ave. , Lacey, WA 98503"
Dana,Deleon,female,18,1,14,82.7,"Danville, VA 24540, 68 Miller St. "
Evangeline,Cox,female,14,5,13,88.9,"79 Cross Avenue , Stillwater, MN 55082"
Slade,Padilla,male,17,5,16,93.1,"74 Whitemarsh Lane , Elizabethton, TN 37643"
Latifah,Daugherty,female,18,5,6,81.0,"Sidney, OH 45365, 8316 Bishop Drive "
Beverly,Benson,female,14,4,17,89.7,"7 Hill Field St. , Sicklerville, NJ 08081"
Solomon,Beach,male,14,4,13,90.3,"7582 South William Court , Cleveland, TN 37312"
Nyssa,George,female,19,2,10,80.2,"817 North San Pablo Lane , Plainfield, NJ 07060"
Lars,David,male,14,1,16,84.3,"446 SE. Boston Ave. , Absecon, NJ 08205"
Halla,Newman,female,16,3,8,80.5,"Sioux City, IA 51106, 9207 Deerfield St. "
Gay,Wagner,female,17,4,7,75.0,"7952 Ridgeview Dr. , Fairfield, CT 06824"
Ariana,Hess,female,15,4,14,99.1,"9 Green Lake Ave. , West Chester, PA 19380"
Victor,Mcdonald,male,15,2,11,76.4,"821 Bellevue Drive , Canonsburg, PA 15317"
Jocelyn,Brock,female,15,2,7,72.7,"Gainesville, VA 20155, 5 Wilson Ave. "
Hoyt,Salazar,male,19,4,14,89.9,"7 East Pulaski Street , Mchenry, IL 60050"
Mohammad,Drake,male,18,2,18,99.6,"7038 East Cleveland St. , Milwaukee, WI 53204"
Russell,Eaton,male,17,4,9,73.4,"684 E. Old York St. , Los Angeles, CA 90008"
Chava,Carey,female,18,4,14,91.5,"7894 Bay Meadows Street , North Fort Myers, FL 33917"
Danielle,Wade,female,19,2,6,64.3,"Myrtle Beach, SC 29577, 896 Indian Spring Rd. "
Hector,Aguilar,male,14,1,9,68.8,"8 Harvard Rd. , Streamwood, IL 60107"
Ocean,Koch,female,19,4,12,88.0,"678 Sunnyslope St. , Nashville, TN 37205"
Jescie,Snyder,female,17,3,5,77.0,"Edison, NJ 08817, 61 South Pawnee Lane "
Ciara,Burris,female,18,4,14,88.0,"Edison, NJ 08817, 2 El Dorado Drive "
Nigel,Morris,male,16,2,11,77.0,"75 NE. Westminster Street , East Northport, NY 11731"
Michelle,Webster,female,19,1,11,90.3,"740 State Street , Prior Lake, MN 55372"
Maris,Holt,female,14,2,6,68.2,"Stuart, FL 34997, 924 Old Glen Creek Lane "
Jarrod,Calderon,male,19,1,12,79.6,"992 2nd Rd. , Cincinnati, OH 45211"
Hanna,Rose,female,14,3,15,90.8,"5 James St. , Meriden, CT 06450"
Timon,Goodman,male,19,4,20,98.0,"116 San Carlos Avenue , Adrian, MI 49221"
Ginger,Stevens,female,18,1,14,84.6,"94 Somerset Lane , Sun City, AZ 85351"
Nathan,Gonzales,male,16,1,8,74.3,"893 Sierra Rd. , Waltham, MA 02453"
Madaline,Ayala,female,15,1,8,78.2,"786 Vermont Lane , Ocoee, FL 34761"
Dante,Malone,male,18,4,12,87.3,"7 Squaw Creek Dr. , Ballston Spa, NY 12020"
Colette,Workman,female,15,2,12,81.1,"Medford, MA 02155, 357 S. Fieldstone Ave. "
Keith,Zimmerman,male,14,3,10,86.0,"1 Fairway Ave. , Lady Lake, FL 32159"
Channing,Stark,male,16,3,7,65.3,"43 West Addison Street , Emporia, KS 66801"
Dexter,Knowles,male,18,5,7,75.2,"Ambler, PA 19002, 93 Schoolhouse Dr. "
Kermit,Raymond,male,17,4,13,90.8,"Mount Holly, NJ 08060, 282 Summit Ave. "
Anthony,Bishop,male,19,2,5,61.6,"7401 Sherman Ave. , Knoxville, TN 37918"
Keaton,Velazquez,male,14,1,9,72.7,"Loxahatchee, FL 33470, 74 Cypress Court "
Adam,Ray,male,18,4,8,74.9,"Passaic, NJ 07055, 17 Front Street "
TaShya,Cote,female,15,5,10,87.5,"154 Holly Court , Hamtramck, MI 48212"
Breanna,Silva,female,16,5,12,86.0,"9412 West Fieldstone Road , Parlin, NJ 08859"
Xanthus,Schmidt,male,19,2,12,88.9,"8327 East Ann Street , Elizabethton, TN 37643"
Audrey,Coffey,female,19,1,14,90.5,"Deland, FL 32720, 806 Cherry Hill Court "
Marshall,Cooke,male,18,5,13,86.3,"836 Glen Eagles Ave. , Jonesboro, GA 30236"
Destiny,Hansen,female,18,1,17,91.9,"8343 Mayfield St. , Grand Haven, MI 49417"
Conan,Kirkland,male,15,5,11,85.2,"296 Glenlake Ave. , Branford, CT 06405"
Venus,Navarro,female,14,1,12,77.0,"Suite 7 , Mount Juliet, TN 37122"
Naida,Delacruz,female,17,2,9,70.3,"Westport, CT 06880, 416 Bayport Lane "
Uriah,Cummings,male,18,3,20,100.0,"Beverly, MA 01915, 7446 Livingston Rd. "
Barry,Mcgowan,male,16,3,8,69.3,"48 Primrose St. , Hoffman Estates, IL 60169"
Hall,Flynn,male,18,2,6,71.9,"808 E. Kirkland Dr. , Leland, NC 28451"
Harriet,Harvey,female,15,3,8,76.1,"8950 E. Grand St. , West Warwick, RI 02893"
Christopher,Arnold,male,19,2,6,77.9,"10 Pearl St. , Duluth, GA 30096"
Regina,Hays,female,18,3,13,94.7,"8932 Fulton St. , Schererville, IN 46375"
Nicole,Castillo,female,18,2,8,80.5,"Doylestown, PA 18901, 7746 West Tunnel Court "
Devin,Snider,male,16,1,12,88.5,"8073 New Avenue , Morgantown, WV 26508"
Natalie,Delaney,female,16,4,18,90.8,"949 Lawrence Ave. , Goldsboro, NC 27530"
Rahim,Nicholson,male,16,4,11,76.1,"8411 Galvin Street , Fishers, IN 46037"
Teagan,Mullins,female,15,1,12,91.3,"68 Temple Ave. , Phillipsburg, NJ 08865"
Jenette,Moon,female,16,5,12,81.0,"305 Van Dyke Ave. , Apt 9 "
Brenna,Morse,female,17,3,16,89.0,"Bayside, NY 11361, 9221 Bayberry Dr. "
Hayley,Wolf,female,14,1,10,87.3,"869 Pin Oak Rd. , Newburgh, NY 12550"
Allistair,Jenkins,male,17,2,11,80.8,"77 Applegate Court , Griffin, GA 30223"
Jackson,Hester,male,14,5,11,79.5,"9478 S. Brandywine Street , Boynton Beach, FL 33435"
Sylvia,Logan,female,19,5,9,73.2,"458 Monroe Lane , Bayonne, NJ 07002"
Dante,Terrell,male,14,4,4,63.4,"5 Windsor St. , Reston, VA 20191"
Wynne,Herring,female,15,2,8,71.4,"232 Princeton Ave. , Shirley, NY 11967"
Lester,Russell,male,18,5,14,82.0,"232 West Edgemont Drive , Clinton Township, MI 48035"
Sage,Donovan,female,14,4,12,77.4,"486 Aspen St. , Metairie, LA 70001"
Raja,Cox,male,14,2,17,90.6,"685 Creek St. , Dublin, GA 31021"
Ciara,Rivers,female,17,2,11,86.8,"57 Andover St. , Matthews, NC 28104"
Phyllis,Walters,female,18,4,19,100.0,"Ames, IA 50010, 8571 Tailwater St. "
Kennedy,Ryan,male,15,1,10,83.0,"Johnston, RI 02919, 8 Indian Spring Street "
Shaeleigh,Gallagher,female,16,2,11,81.7,"401 Railroad St. , Dothan, AL 36301"
Rose,Middleton,female,15,2,20,100.0,"7341 Tailwater Street , Bemidji, MN 56601"
Portia,Campbell,female,18,5,10,80.9,"496 Fairway Street , Glenview, IL 60025"
Kasper,Hammond,male,17,3,10,71.9,"265 Old Fairway Ave. , Winchester, VA 22601"
Lamar,Day,male,17,4,17,95.0,"2 Carriage St. , Calumet City, IL 60409"
Rylee,Ward,female,18,2,9,88.4,"Halethorpe, MD 21227, 86 Andover Street "
Kasimir,Peck,male,15,4,4,75.0,"Covington, GA 30014, 386 Wood Rd. "
Xyla,Roman,female,14,3,16,87.9,"Middle River, MD 21220, 13 East Somerset Drive "
Gavin,Deleon,male,16,5,9,77.9,"State College, PA 16801, 997 Crescent Lane "
Shellie,Moreno,female,14,1,13,84.4,"7752 Lantern St. , Rockville Centre, NY 11570"
Lydia,Oneal,female,14,2,5,78.1,"299 Valley View Street , Auburn, NY 13021"
Cain,Russo,male,19,1,10,83.6,"1 Berkshire Ave. , Colorado Springs, CO 80911"
Megan,Kennedy,female,16,4,11,90.4,"Yorktown Heights, NY 10598, 112 Oak Valley Road "
Noah,Cote,male,14,2,13,84.3,"316 Taylor Ave. , Elyria, OH 44035"
Wynne,Downs,female,18,5,3,76.0,"68 Myers Ave. , Bowie, MD 20715"
Caldwell,Shaw,male,14,3,15,95.3,"Oswego, NY 13126, 435 Lake View St. "
Keith,Dominguez,male,14,3,9,84.2,"53 Woodland Avenue , Dunedin, FL 34698"
Alma,Hewitt,female,17,4,15,99.3,"Fort Walton Beach, FL 32547, 283 Rock Maple Rd. "
Josephine,Lynn,female,18,3,15,99.2,"7389 Highland Rd. , Annandale, VA 22003"
Forrest,Rollins,male,17,2,19,87.2,"Manitowoc, WI 54220, 441 Big Rock Cove St. "
Perry,Ramsey,male,18,4,8,87.5,"849 Broad Ave. , Wausau, WI 54401"
Cody,Merritt,male,19,5,5,75.3,"9235 Border Ave. , North Royalton, OH 44133"
Camden,Day,male,15,4,8,82.7,"117 Tailwater Court , Allen Park, MI 48101"
Eve,Mayer,female,17,4,15,83.7,"8871 Elm Drive , Naugatuck, CT 06770"
Leslie,Kaufman,female,18,3,18,90.3,"585 Fairground Dr. , Fort Myers, FL 33905"
Declan,Hinton,male,15,2,12,76.5,"24 Bridge St. , Kennewick, WA 99337"
Roth,Patrick,male,14,2,13,90.4,"12 Brickyard Court , Monroe Township, NJ 08831"
Nathan,Phillips,male,15,4,8,71.2,"82 North Olive Rd. , Reynoldsburg, OH 43068"
Elvis,Watkins,male,14,2,11,80.7,"Cumming, GA 30040, 348B Morris Street "
Germaine,Nunez,female,18,2,15,95.2,"Parkersburg, WV 26101, 56 Tailwater Lane "
Audra,Combs,female,17,5,12,78.5,"1 E. Cleveland St. , Miamisburg, OH 45342"
Lavinia,Marshall,female,17,3,9,74.6,"Stafford, VA 22554, 486 Thompson Ave. "
Kadeem,Garcia,male,15,2,10,73.3,"832 Golf Court , Woodside, NY 11377"
Roth,Dickson,male,16,5,12,77.6,"84 Highland Drive , Woodstock, GA 30188"
Chava,Meadows,female,16,4,11,93.0,"Kansas City, MO 64151, 8194 West Ave. "
Mary,Estrada,female,18,2,9,74.0,"9 Tunnel Rd. , Milford, MA 01757"
Dylan,Espinoza,male,19,4,10,74.1,"662 Main St. , Batavia, OH 45103"
Haley,Cruz,female,18,1,4,71.1,"Summerville, SC 29483, 8 West Kirkland St. "
Thomas,Dotson,male,14,5,11,84.0,"85 Courtland St. , Lowell, MA 01851"
Jayme,Chang,female,15,4,6,78.4,"17 Holly St. , Gainesville, VA 20155"
Hall,Rowland,male,18,2,14,92.2,"96 West Alton St. , Mason City, IA 50401"
Amanda,Vincent,female,15,4,10,88.5,"North Kingstown, RI 02852, 284 Dunbar Rd. "
Ria,Bowen,female,15,2,5,76.5,"537 Golf Court , Crystal Lake, IL 60014"
Illiana,Branch,female,14,5,4,69.8,"8860 Lawrence Street , Port Orange, FL 32127"
Vanna,Mccarthy,female,16,5,9,76.5,"430 Beech Drive , Cordova, TN 38016"
Nathan,Gutierrez,male,17,4,12,77.1,"957 Blackburn St. , Monroe Township, NJ 08831"
Jane,Allison,female,17,2,11,74.5,"Granger, IN 46530, 323 Winding Way Ave. "
Christopher,Warner,male,14,2,15,84.5,"23 Richardson Drive , Centreville, VA 20120"
