fname,lname,gender,age,exercise,hours,grade,address
Ariana,Pacheco,female,17,1,5,70.9,"8914 Newbridge Lane, New Castle, PA 16101"
Hoyt,Lyons,male,16,5,1,71.3,"720 Linden Street, Springfield Gardens, NY 11413"
Justin,Holden,male,18,3,17,83.5,"15 South Third Drive, Coachella, CA 92236"
Phelan,Rich,male,16,1,6,74.9,"72 Jockey Hollow Ave., Winston Salem, NC 27103"
Honorato,Villarreal,male,14,1,12,73.3,"63 Woodside Avenue, Round Lake, IL 60073"
Hashim,Hopkins,male,18,3,10,77.9,"7459 Cedarwood St., West Chester, PA 19380"
Porter,Ware,male,14,1,16,90.4,"52 Shirley Drive, Merrick, NY 11566"
Joan,Sexton,female,18,5,18,96.6,"642 West Sussex St., Honolulu, HI 96815"
Alexa,Gutierrez,female,17,4,6,81.2,"59 Foster Ave., Auburndale, FL 33823"
Sean,Molina,male,17,1,8,67.7,"8950 Sycamore Dr., Roswell, GA 30075"
Lucius,Herrera,male,14,2,19,88.0,"67 Old Clinton Dr., Lynn, MA 01902"
Sydnee,Campbell,female,18,2,15,99.4,"64 Hill Field Ave., Kennesaw, GA 30144"
Allistair,Rosales,male,14,4,3,67.0,"7825 Dogwood Dr., Norman, OK 73072"
Alyssa,Craig,female,19,5,11,93.0,"9533 Big Rock Cove Street, Morgantown, WV 26508"
Cody,Lara,male,18,1,6,69.0,"12 South Crescent Street, Mason, OH 45040"
Bernard,Mcconnell,male,14,2,10,78.3,"571 Acacia St., Smyrna, GA 30080"
Jonah,Mckinney,male,15,2,11,74.9,"644 Walnutwood Street, Rock Hill, SC 29730"
Yen,Cooke,female,14,4,11,87.9,"54 Eagle Dr., Rocklin, CA 95677"
Cassidy,Hughes,female,15,3,17,92.0,"656 East Road, Hampton, VA 23666"
Gisela,Johnston,female,19,1,8,68.0,"534 N. Belmont Avenue, Tualatin, OR 97062"
Yetta,Howell,female,17,3,13,89.2,"348 Tailwater Lane, Hilliard, OH 43026"
Gabriel,Morton,male,16,2,15,91.3,"23 Circle Street, Reno, NV 89523"
Sage,Cleveland,female,19,2,20,100.0,"9721B Green Dr., Fairhope, AL 36532"
Shannon,Key,female,15,1,11,83.7,"242 Littleton Rd., Flemington, NJ 08822"
Sigourney,Mitchell,female,14,2,12,82.5,"7923 8th Rd., Norristown, PA 19401"
Adrienne,Klein,female,18,3,12,77.3,"8653 Santa Clara Street, Columbus, GA 31904"
Chaney,Hoffman,male,14,3,13,93.6,"9152 Glenwood Ave., New Rochelle, NY 10801"
Fritz,Park,male,14,2,18,93.2,"9991 Parker Court, Lansdowne, PA 19050"
Clinton,Donaldson,male,16,5,10,88.4,"96 Shipley Ave., Evans, GA 30809"
Lara,Haley,female,17,5,12,95.6,"7586 Oakwood Lane, Winter Garden, FL 34787"
Sophia,Gordon,female,19,4,17,100.0,"7672 Smoky Hollow Street, Hillsboro, OR 97124"
Kaye,Howard,female,19,5,13,94.9,"7890 Pin Oak Court, Norwood, MA 02062"
Quinlan,Rollins,male,15,5,8,73.3,"77 Tower St., Carmel, NY 10512"
Xanthus,Barlow,male,19,5,16,95.5,"92 Franklin Ave., Deltona, FL 32725"
Hamilton,Terrell,male,15,5,16,96.6,"39 Lookout St., Highland, IN 46322"
Zeus,Ratliff,male,14,2,16,88.8,"8644 SW. Delaware St., Peabody, MA 01960"
Valentine,Osborne,male,19,5,12,92.2,"8 South Chapel St., Elyria, OH 44035"
Zahir,Watkins,male,14,2,14,92.0,"9820 Church Ave., Newnan, GA 30263"
Debra,Wilkerson,female,16,4,5,66.3,"48 Race Dr., Cumming, GA 30040"
Clio,Wilson,female,14,1,5,65.3,"8020 E. Hilldale Drive, East Hartford, CT 06118"
Cathleen,Hayden,female,18,4,3,73.4,"55 N. Ryan St., New Orleans, LA 70115"
Yolanda,Vaughan,female,14,2,15,94.0,"7244 Sutor Court, Canton, GA 30114"
Guinevere,Romero,female,18,5,14,84.2,"9123 East Hill St., Mason, OH 45040"
Keelie,Rice,female,19,4,9,88.4,"9906 Lakewood Court, Warren, MI 48089"
Bethany,Sullivan,female,15,3,9,73.1,"984 10th St., High Point, NC 27265"
Salvador,Gray,male,14,1,13,84.2,"677 Talbot Street, Shepherdsville, KY 40165"
Violet,Jennings,female,14,1,5,62.6,"9950 Liberty St., Bloomington, IN 47401"
Lewis,Jones,male,15,5,11,92.6,"520 Taylor St., Kalamazoo, MI 49009"
Lunea,Mcfadden,female,17,1,17,91.6,"8416 Hill Field Street, Valrico, FL 33594"
Shaeleigh,Clayton,female,19,2,12,92.4,"7388 West Branch Dr., Upland, CA 91784"
Nathan,Payne,male,15,1,8,79.1,"73 East Pheasant St., Sugar Land, TX 77478"
Stella,Smith,female,14,1,6,76.2,"394 Tunnel Court, Clarksburg, WV 26301"
Kelly,Shannon,male,18,5,14,90.9,"1 Kirkland Ave., Whitestone, NY 11357"
Yael,Mcdowell,female,18,3,16,85.2,"42 Whitemarsh Dr., Kings Mountain, NC 28086"
Zena,Schultz,female,19,3,12,80.1,"149 Wintergreen Street, Crystal Lake, IL 60014"
Chaney,Harrington,male,19,4,11,89.3,"87 Highland Street, Ridgecrest, CA 93555"
Conan,Wall,male,19,3,6,66.8,"9590 Bohemia Road, King Of Prussia, PA 19406"
Jamalia,Bowman,female,16,1,13,77.8,"54 Devonshire Drive, Farmington, MI 48331"
Shana,Castro,female,14,1,14,95.0,"62 Studebaker Street, Bloomington, IN 47401"
Merrill,Duran,male,17,2,10,76.3,"9049 Rockwell Street, Merrillville, IN 46410"
Gregory,Lawrence,male,19,3,14,86.8,"6 North Bohemia Dr., Stockbridge, GA 30281"
Rebecca,Bird,female,19,2,7,82.5,"9919 Campfire St., Ottawa, IL 61350"
Sheila,Koch,female,15,5,13,97.1,"8254 Nicolls Drive, Canandaigua, NY 14424"
Dane,Flynn,male,18,5,12,87.4,"208 West James Road, Jonesboro, GA 30236"
Connor,Salas,male,19,5,17,90.7,"207 Dogwood Ave., Yonkers, NY 10701"
Baxter,Hardy,male,14,5,9,75.1,"55 West Foster St., Vineland, NJ 08360"
Jorden,Sharp,female,17,4,12,90.2,"967 Grove Road, Coram, NY 11727"
Hu,Weber,male,17,3,9,84.2,"916 East Edgewood Street, Ridgefield, CT 06877"
Maite,Walters,female,16,3,10,74.0,"5 Gainsway Street, Xenia, OH 45385"
Alfreda,Mays,female,15,4,7,71.6,"58 Pine St., Altamonte Springs, FL 32714"
Dexter,Wells,male,16,3,5,68.9,"50 Bow Ridge Street, Beckley, WV 25801"
Sawyer,Hart,male,19,4,8,69.4,"8438 N. Bowman Lane, Hernando, MS 38632"
Maggie,Rich,female,19,2,11,77.3,"9188 Albany Ave., Goshen, IN 46526"
Hashim,Callahan,male,16,1,11,71.8,"56 Plymouth Drive, Buffalo, NY 14215"
Darius,Gilbert,male,19,3,9,86.3,"1 Grand Street, Fairburn, GA 30213"
Rosalyn,Le,female,18,1,14,88.3,"18 Princess Road, Mocksville, NC 27028"
Jordan,Holt,male,18,3,4,72.1,"4 North Nichols Rd., Ronkonkoma, NY 11779"
Chase,Flynn,male,19,3,7,81.1,"8260 Lakewood Ave., Hackensack, NJ 07601"
Jane,Welch,female,15,3,16,93.7,"400 Glenridge St., Baton Rouge, LA 70806"
Grant,Strickland,male,19,1,6,79.0,"943 Walt Whitman Avenue, Lake Charles, LA 70605"
Darius,Miranda,male,19,1,16,93.3,"771 N. Victoria Dr., Alabaster, AL 35007"
Arthur,Pacheco,male,15,3,14,96.9,"704 E. Hill Field Dr., West Lafayette, IN 47906"
Hedda,Ramos,female,16,5,5,82.3,"911 Blue Spring Lane, Whitestone, NY 11357"
Farrah,Palmer,female,15,5,11,91.3,"8718 Ocean St., Olney, MD 20832"
Bree,Weaver,female,16,4,12,83.3,"7850 Somerset St., Peoria, IL 61604"
Elton,Preston,male,17,4,20,97.8,"64 St Paul Drive, Fair Lawn, NJ 07410"
Ciaran,Johns,male,16,4,15,100.0,"7350 Creek Avenue, Upper Marlboro, MD 20772"
Miranda,Le,female,19,3,10,80.6,"8235 Birchpond Dr., Glen Burnie, MD 21060"
Geraldine,Farrell,female,16,3,10,84.9,"962 E. Kent Ave., Riverside, NJ 08075"
Callie,Hoffman,female,15,3,9,71.9,"183 N. Brickell Lane, West Chicago, IL 60185"
Jelani,Kaufman,male,14,3,14,94.1,"993 Columbia St., Cartersville, GA 30120"
Solomon,Rosales,male,19,3,17,91.1,"9187 Park Dr., Irmo, SC 29063"
Callie,Washington,female,17,2,7,77.0,"9 Griffin Street, Wyandotte, MI 48192"
Carson,Meadows,male,17,5,8,75.4,"5 S. Henry St., Glen Allen, VA 23059"
Joseph,Mclean,male,16,1,14,81.8,"8407 E. Bayberry St., Sioux Falls, SD 57103"
Britanni,Tucker,female,19,1,13,89.7,"74 South Fairway Street, Hialeah, FL 33010"
Raja,Stuart,male,14,1,13,82.5,"8 Greenview St., Paramus, NJ 07652"
Quail,Bonner,female,18,5,6,68.0,"28 Hamilton Lane, Palos Verdes Peninsula, CA 90274"
Dana,Deleon,female,18,1,14,82.7,"8681 Lake Forest Avenue, Williamsport, PA 17701"
Evangeline,Cox,female,14,5,13,88.9,"9677 2nd Avenue, North Tonawanda, NY 14120"
Slade,Padilla,male,17,5,16,93.1,"1 South Oak Valley Dr., Bergenfield, NJ 07621"
Latifah,Daugherty,female,18,5,6,81.0,"282 La Sierra St., Charleston, SC 29406"
Beverly,Benson,female,14,4,17,89.7,"7 Lilac Ave., Flint, MI 48504"
Solomon,Beach,male,14,4,13,90.3,"33 Snake Hill Rd., Everett, MA 02149"
Nyssa,George,female,19,2,10,80.2,"482 Winding Way Ave., Union, NJ 07083"
Lars,David,male,14,1,16,84.3,"8309 Leatherwood Road, Paducah, KY 42001"
Halla,Newman,female,16,3,8,80.5,"8477 Victoria Road, Muskego, WI 53150"
Gay,Wagner,female,17,4,7,75.0,"7368 Sugar Ave., Flint, MI 48504"
Ariana,Hess,female,15,4,14,99.1,"6 Joy Ridge St., Auburndale, FL 33823"
Victor,Mcdonald,male,15,2,11,76.4,"441 Mammoth Street, Quakertown, PA 18951"
Jocelyn,Brock,female,15,2,7,72.7,"347 Sherwood Drive, Medina, OH 44256"
Hoyt,Salazar,male,19,4,14,89.9,"889 Sunnyslope Avenue, Maryville, TN 37803"
Mohammad,Drake,male,18,2,18,99.6,"40 Oak Valley St., Tupelo, MS 38801"
Russell,Eaton,male,17,4,9,73.4,"8027 Somerset Lane, Cincinnati, OH 45211"
Chava,Carey,female,18,4,14,91.5,"601 Creekside Lane, Wethersfield, CT 06109"
Danielle,Wade,female,19,2,6,64.3,"9939 Rockwell Court, Youngstown, OH 44512"
Hector,Aguilar,male,14,1,9,68.8,"23 W. Pulaski Lane, Teaneck, NJ 07666"
Ocean,Koch,female,19,4,12,88.0,"598 Shadow Brook Street, Glenside, PA 19038"
Jescie,Snyder,female,17,3,5,77.0,"7882 East Harvard St., Lincoln Park, MI 48146"
Ciara,Burris,female,18,4,14,88.0,"8254 Beacon St., Southampton, PA 18966"
Nigel,Morris,male,16,2,11,77.0,"917 Oak St., Marshalltown, IA 50158"
Michelle,Webster,female,19,1,11,90.3,"7776 Canterbury Rd., Alpharetta, GA 30004"
Maris,Holt,female,14,2,6,68.2,"978 Iroquois Court, Parkville, MD 21234"
Jarrod,Calderon,male,19,1,12,79.6,"19 3rd Drive, Jupiter, FL 33458"
Hanna,Rose,female,14,3,15,90.8,"4 Pheasant Ave., Somerset, NJ 08873"
Timon,Goodman,male,19,4,20,98.0,"3 North Rockaway Ave., Uniontown, PA 15401"
Ginger,Stevens,female,18,1,14,84.6,"959 Cardinal Court, Egg Harbor Township, NJ 08234"
Nathan,Gonzales,male,16,1,8,74.3,"7 Front Rd., Shepherdsville, KY 40165"
Madaline,Ayala,female,15,1,8,78.2,"4 Ashley Street, Venice, FL 34293"
Dante,Malone,male,18,4,12,87.3,"7 Wall St., Smyrna, GA 30080"
Colette,Workman,female,15,2,12,81.1,"467 Richardson Ave., Edison, NJ 08817"
Keith,Zimmerman,male,14,3,10,86.0,"9002 Lakewood Ave., Fort Washington, MD 20744"
Channing,Stark,male,16,3,7,65.3,"70 Indian Spring St., Bergenfield, NJ 07621"
Dexter,Knowles,male,18,5,7,75.2,"135 Prospect Rd., Paramus, NJ 07652"
Kermit,Raymond,male,17,4,13,90.8,"8978 East Union Dr., Conway, SC 29526"
Anthony,Bishop,male,19,2,5,61.6,"1 Walt Whitman Street, Hartselle, AL 35640"
Keaton,Velazquez,male,14,1,9,72.7,"739 Longbranch Lane, Taylors, SC 29687"
Adam,Ray,male,18,4,8,74.9,"913 Plumb Branch Dr., Cedar Rapids, IA 52402"
TaShya,Cote,female,15,5,10,87.5,"539 Sussex Lane, Jamaica Plain, MA 02130"
Breanna,Silva,female,16,5,12,86.0,"569 Brook Drive, Tallahassee, FL 32303"
Xanthus,Schmidt,male,19,2,12,88.9,"8348 Peg Shop Court, Auburn, NY 13021"
Audrey,Coffey,female,19,1,14,90.5,"496B West Sunnyslope St., Dalton, GA 30721"
Marshall,Cooke,male,18,5,13,86.3,"8147 NW. Summit St., Hudson, NH 03051"
Destiny,Hansen,female,18,1,17,91.9,"18 E. Chestnut Street, Sevierville, TN 37876"
Conan,Kirkland,male,15,5,11,85.2,"31 Joy Ridge Dr., Chillicothe, OH 45601"
Venus,Navarro,female,14,1,12,77.0,"875 Coffee Dr., Parkersburg, WV 26101"
Naida,Delacruz,female,17,2,9,70.3,"9280 Lake View Street, Boston, MA 02127"
Uriah,Cummings,male,18,3,20,100.0,"444 West Homestead Rd., Lebanon, PA 17042"
Barry,Mcgowan,male,16,3,8,69.3,"185 W. Coffee St., Garner, NC 27529"
Hall,Flynn,male,18,2,6,71.9,"746 Campfire Rd., Moncks Corner, SC 29461"
Harriet,Harvey,female,15,3,8,76.1,"790 Oakwood Drive, Willoughby, OH 44094"
Christopher,Arnold,male,19,2,6,77.9,"76 Primrose Court, Herndon, VA 20170"
Regina,Hays,female,18,3,13,94.7,"7770 West Inverness St., Dacula, GA 30019"
Nicole,Castillo,female,18,2,8,80.5,"85 West Division Rd., Hagerstown, MD 21740"
Devin,Snider,male,16,1,12,88.5,"9151 North Helen Street, Brookline, MA 02446"
Natalie,Delaney,female,16,4,18,90.8,"10 Glenridge St., Pittsburgh, PA 15206"
Rahim,Nicholson,male,16,4,11,76.1,"7175 Pawnee Drive, Elizabethtown, PA 17022"
Teagan,Mullins,female,15,1,12,91.3,"12 Stillwater Drive, Nottingham, MD 21236"
Jenette,Moon,female,16,5,12,81.0,"7044 Bohemia St., El Paso, TX 79930"
Brenna,Morse,female,17,3,16,89.0,"83 Richardson Drive, Huntersville, NC 28078"
Hayley,Wolf,female,14,1,10,87.3,"50 Hanover Drive, Mechanicsville, VA 23111"
Allistair,Jenkins,male,17,2,11,80.8,"626 Laurel Rd., Oshkosh, WI 54901"
Jackson,Hester,male,14,5,11,79.5,"7573 Silver Spear St., West Lafayette, IN 47906"
Sylvia,Logan,female,19,5,9,73.2,"8851 NW. Crescent Dr., Racine, WI 53402"
Dante,Terrell,male,14,4,4,63.4,"692 Pin Oak Ave., Freeport, NY 11520"
Wynne,Herring,female,15,2,8,71.4,"11 W. Broad Dr., Bethesda, MD 20814"
Lester,Russell,male,18,5,14,82.0,"89 Lafayette St., Kennewick, WA 99337"
Sage,Donovan,female,14,4,12,77.4,"402 Fulton Rd., Elizabethtown, PA 17022"
Raja,Cox,male,14,2,17,90.6,"4 N. Temple Road, Moncks Corner, SC 29461"
Ciara,Rivers,female,17,2,11,86.8,"72 South Young Street, North Tonawanda, NY 14120"
Phyllis,Walters,female,18,4,19,100.0,"33 Smith St., Hephzibah, GA 30815"
Kennedy,Ryan,male,15,1,10,83.0,"309 Pawnee St., Bethesda, MD 20814"
Shaeleigh,Gallagher,female,16,2,11,81.7,"388 South 4th St., Owensboro, KY 42301"
Rose,Middleton,female,15,2,20,100.0,"979 Andover Street, Cockeysville, MD 21030"
Portia,Campbell,female,18,5,10,80.9,"9028 Sutor Rd., Hicksville, NY 11801"
Kasper,Hammond,male,17,3,10,71.9,"155 Briarwood St., Nicholasville, KY 40356"
Lamar,Day,male,17,4,17,95.0,"635 Augusta St., New Haven, CT 06511"
Rylee,Ward,female,18,2,9,88.4,"704 Beaver Ridge Ave., Saint Joseph, MI 49085"
Kasimir,Peck,male,15,4,4,75.0,"8880 North Locust Drive, Crystal Lake, IL 60014"
Xyla,Roman,female,14,3,16,87.9,"848 Livingston Ave., Edison, NJ 08817"
Gavin,Deleon,male,16,5,9,77.9,"32 East Harvey Street, Trussville, AL 35173"
Shellie,Moreno,female,14,1,13,84.4,"556 Princeton St., Clover, SC 29710"
Lydia,Oneal,female,14,2,5,78.1,"85 Rocky River Street, Pembroke Pines, FL 33028"
Cain,Russo,male,19,1,10,83.6,"4 Oak Street, Gallatin, TN 37066"
Megan,Kennedy,female,16,4,11,90.4,"384 Canterbury Drive, Natchez, MS 39120"
Noah,Cote,male,14,2,13,84.3,"885 Mountainview Rd., Roanoke Rapids, NC 27870"
Wynne,Downs,female,18,5,3,76.0,"569 Newbridge Street, Portland, ME 04103"
Caldwell,Shaw,male,14,3,15,95.3,"316 Orange Street, Stratford, CT 06614"
Keith,Dominguez,male,14,3,9,84.2,"254 Logan Rd., Winona, MN 55987"
Alma,Hewitt,female,17,4,15,99.3,"68 Birch Hill Road, Virginia Beach, VA 23451"
Josephine,Lynn,female,18,3,15,99.2,"24 South Liberty Street, Owings Mills, MD 21117"
Forrest,Rollins,male,17,2,19,87.2,"9061 Orange Road, Glendale, AZ 85302"
Perry,Ramsey,male,18,4,8,87.5,"81 Brandywine St., Braintree, MA 02184"
Cody,Merritt,male,19,5,5,75.3,"9755 Lexington St., Salt Lake City, UT 84119"
Camden,Day,male,15,4,8,82.7,"21 Carpenter St., Barrington, IL 60010"
Eve,Mayer,female,17,4,15,83.7,"41 Shadow Brook Lane, Severna Park, MD 21146"
Leslie,Kaufman,female,18,3,18,90.3,"8 Oak St., Fullerton, CA 92831"
Declan,Hinton,male,15,2,12,76.5,"7431 Lookout St., Flowery Branch, GA 30542"
Roth,Patrick,male,14,2,13,90.4,"752 North Prince Ave., Greensboro, NC 27405"
Nathan,Phillips,male,15,4,8,71.2,"766 Wakehurst Avenue, Taylor, MI 48180"
Elvis,Watkins,male,14,2,11,80.7,"8885 10th Ave., Rock Hill, SC 29730"
Germaine,Nunez,female,18,2,15,95.2,"79 N. Smith Store Dr., Monroeville, PA 15146"
Audra,Combs,female,17,5,12,78.5,"508 Greystone Court, Toledo, OH 43612"
Lavinia,Marshall,female,17,3,9,74.6,"314 Lake Forest Street, Southaven, MS 38671"
Kadeem,Garcia,male,15,2,10,73.3,"801 Mammoth St., Deerfield, IL 60015"
Roth,Dickson,male,16,5,12,77.6,"6 Valley View Court, Kingston, NY 12401"
Chava,Meadows,female,16,4,11,93.0,"999 Sleepy Hollow Lane, Detroit, MI 48205"
Mary,Estrada,female,18,2,9,74.0,"896 Riverview Dr., Clover, SC 29710"
Dylan,Espinoza,male,19,4,10,74.1,"591 Arlington Avenue, Elkridge, MD 21075"
Haley,Cruz,female,18,1,4,71.1,"986 Pine Lane, Union, NJ 07083"
Thomas,Dotson,male,14,5,11,84.0,"816 Gartner Ave., Ravenna, OH 44266"
Jayme,Chang,female,15,4,6,78.4,"5 Riverview Ave., Graham, NC 27253"
Hall,Rowland,male,18,2,14,92.2,"3 El Dorado Avenue, Oxon Hill, MD 20745"
Amanda,Vincent,female,15,4,10,88.5,"597 Pearl Drive, North Kingstown, RI 02852"
Ria,Bowen,female,15,2,5,76.5,"3 Honey Creek Lane, Allen Park, MI 48101"
Illiana,Branch,female,14,5,4,69.8,"9730 Van Dyke Court, Port Orange, FL 32127"
Vanna,Mccarthy,female,16,5,9,76.5,"457 Shore Lane, Bismarck, ND 58501"
Nathan,Gutierrez,male,17,4,12,77.1,"122 North Bay Street, Lebanon, PA 17042"
Jane,Allison,female,17,2,11,74.5,"116 Winchester Avenue, Phillipsburg, NJ 08865"
Christopher,Warner,male,14,2,15,84.5,"3 Evergreen Road, Tupelo, MS 38801"
Fiona,Higgins,female,18,1,11,77.5,"8462 Lake View St., Buffalo Grove, IL 60089"
Jemima,Vargas,female,17,1,8,74.9,"338 Old Wood Dr., Kernersville, NC 27284"
Raven,Mendez,female,18,5,13,87.0,"677 Sherwood Circle, Kaukauna, WI 54130"
Quintessa,Boyle,female,16,3,3,69.4,"162 Mountainview Court, Lake In The Hills, IL 60156"
Kamal,Walton,male,14,1,17,100.0,"9125 Edgemont Lane, Attleboro, MA 02703"
